time,dt,fps,phase,mode,tip_entry_error_mm,entry_rcm_error_mm,entry_axis_error_deg,target_rcm_or_tip_error_mm,final_target_tip_error_mm,insertion_progress,insertion_intermediate_error_mm,entry_cone_angle_deg,entry_cone_violation_deg,skull_violation_mm,arm_skull_violation_mm,entry_lambda,target_lambda,entry_segment,target_segment,joint_limits_ok,tool_x,tool_y,tool_z,tip_x,tip_y,tip_z,entry_x,entry_y,entry_z,target_x,target_y,target_z,q0_deg,q1_deg,q2_deg,q3_deg,q4_deg,q5_deg
1.59707,0.01091,91.68565,InsertToTarget,Double,28.41725,0.08644,0.00000,132.82810,132.82810,0.17622,0.09396,0.00000,0.00000,0.00000,0.00000,0.92896,1.00000,6,6,1,0.63560,1.02260,0.05998,0.83409,0.67532,0.06009,0.82000,0.70000,0.06000,0.90000,0.56000,0.06000,-3.20208,16.70142,-12.70457,-45.78712,-50.54060,56.59005
1.62760,0.01006,99.43211,InsertToTarget,Double,29.10659,0.08723,0.01978,132.13880,132.13880,0.18050,0.09501,0.01978,0.00000,0.00000,0.00000,0.92724,1.00000,6,6,1,0.63595,1.02200,0.05998,0.83444,0.67473,0.06009,0.82000,0.70000,0.06000,0.90000,0.56000,0.06000,-3.19171,16.59613,-12.59338,-45.84609,-50.49245,56.63299
1.65851,0.01042,95.93996,InsertToTarget,Double,29.80443,0.08784,0.00000,131.44090,131.44090,0.18482,0.09587,0.00000,0.00000,0.00000,0.00000,0.92550,1.00000,6,6,1,0.63629,1.02140,0.05998,0.83478,0.67412,0.06010,0.82000,0.70000,0.06000,0.90000,0.56000,0.06000,-3.18125,16.48973,-12.48124,-45.90586,-50.44302,56.67638
1.68878,0.00959,104.27310,InsertToTarget,Double,30.48794,0.08821,0.01978,130.75740,130.75740,0.18906,0.09646,0.01978,0.00000,0.00000,0.00000,0.92379,1.00000,6,6,1,0.63663,1.02080,0.05998,0.83512,0.67353,0.06010,0.82000,0.70000,0.06000,0.90000,0.56000,0.06000,-3.17098,16.38474,-12.37019,-45.96633,-50.39346,56.72061
1.71953,0.00970,103.11580,InsertToTarget,Double,31.18199,0.08926,0.00000,130.06340,130.06340,0.19337,0.09779,0.00000,0.00000,0.00000,0.00000,0.92205,1.00000,6,6,1,0.63698,1.02020,0.05998,0.83547,0.67292,0.06010,0.82000,0.70000,0.06000,0.90000,0.56000,0.06000,-3.16059,16.27843,-12.25803,-46.02757,-50.34251,56.76512
1.75064,0.01117,89.52247,InsertToTarget,Double,31.88433,0.08977,0.00000,129.36100,129.36100,0.19772,0.09858,0.00000,0.00000,0.00000,0.00000,0.92030,1.00000,6,6,1,0.63732,1.01959,0.05998,0.83581,0.67231,0.06010,0.82000,0.70000,0.06000,0.90000,0.56000,0.06000,-3.15012,16.17121,-12.14524,-46.08924,-50.29036,56.80970
1.78088,0.00898,111.36360,InsertToTarget,Double,32.56694,0.09219,0.01978,128.67840,128.67840,0.20196,0.10141,0.01978,0.00000,0.00000,0.00000,0.91859,1.00000,6,6,1,0.63766,1.01900,0.05998,0.83615,0.67172,0.06010,0.82000,0.70000,0.06000,0.90000,0.56000,0.06000,-3.13988,16.06545,-12.03309,-46.15270,-50.23789,56.85608
1.81351,0.01050,95.20969,InsertToTarget,Double,33.30383,0.09477,0.00000,127.94160,127.94160,0.20653,0.10446,0.00000,0.00000,0.00000,0.00000,0.91675,1.00000,6,6,1,0.63802,1.01836,0.05998,0.83652,0.67108,0.06010,0.82000,0.70000,0.06000,0.90000,0.56000,0.06000,-3.12894,15.95279,-11.91470,-46.21864,-50.18131,56.90338
1.84499,0.01096,91.22095,InsertToTarget,Double,34.01436,0.09580,0.01978,127.23100,127.23100,0.21093,0.10582,0.01978,0.00000,0.00000,0.00000,0.91497,1.00000,6,6,1,0.63838,1.01774,0.05998,0.83687,0.67046,0.06011,0.82000,0.70000,0.06000,0.90000,0.56000,0.06000,-3.11837,15.84327,-11.79918,-46.28461,-50.12523,56.95132
1.87561,0.01043,95.83785,InsertToTarget,Double,34.70565,0.09596,0.00000,126.53970,126.53970,0.21522,0.10618,0.00000,0.00000,0.00000,0.00000,0.91324,1.00000,6,6,1,0.63872,1.01714,0.05998,0.83721,0.66986,0.06011,0.82000,0.70000,0.06000,0.90000,0.56000,0.06000,-3.10805,15.73582,-11.68539,-46.35126,-50.06913,57.00029
