time,phase,mode,tip_entry_error_mm,entry_rcm_error_mm,entry_axis_error_deg,target_rcm_or_tip_error_mm,final_target_tip_error_mm,insertion_progress,insertion_intermediate_error_mm,entry_cone_angle_deg,entry_cone_violation_deg,skull_violation_mm,arm_skull_violation_mm,entry_lambda,target_lambda,entry_segment,target_segment,joint_limits_ok,tool_x,tool_y,tool_z,tip_x,tip_y,tip_z,entry_x,entry_y,entry_z,target_x,target_y,target_z,q0_deg,q1_deg,q2_deg,q3_deg,q4_deg,q5_deg,source_file,fps_est,stage,task_inferred,total_skull_violation_mm,cone_t2_angle_deg_geom,cone_t2_radius_mm_geom,entry_side_distance_to_entry_mm_geom,cone_t4_angle_deg_geom,cone_t4_radius_mm_geom,tip_distance_to_target_mm_geom,tip_speed_mm_s,tip_acc_mm_s2,tip_jerk_mm_s3,joint_speed_rms_deg_s,joint_acc_rms_deg_s2
60.25295,Done,Double,161.0948,1.04043,0.20653,1.58284,1.58284,1.0,1.58284,0.20558,0.0,0.0,0.0,0.59701,1.0,6,6,1,0.70187,0.90766,0.05991,0.90025,0.56033,0.05847,0.82,0.7,0.06,0.9,0.56,0.06,1.04585,-31.36576,58.68774,-92.89253,-88.86663,105.8376,double_rcm_log_20260616_105213_166.csv,40.63388866315236,Unknown,Task3_Insertion,0.0,0.20660163220823397,0.5814292133278756,0.5814301583235394,0.5607917791518126,1.5766732259851468,1.5850236591293951,1.7901808365247238e-12,1.4768481085793281e-12,2.1660585269249562e-09,1.9136895951010512e-13,2.0857465915929007e-12
60.27807,Done,Double,161.0948,1.04043,0.20653,1.58284,1.58284,1.0,1.58284,0.20558,0.0,0.0,0.0,0.59701,1.0,6,6,1,0.70187,0.90766,0.05991,0.90025,0.56033,0.05847,0.82,0.7,0.06,0.9,0.56,0.06,1.04585,-31.36576,58.68774,-92.89253,-88.86663,105.8376,double_rcm_log_20260616_105213_166.csv,39.80891719745042,Unknown,Task3_Insertion,0.0,0.20660163220823397,0.5814292133278756,0.5814301583235394,0.5607917791518126,1.5766732259851468,1.5850236591293951,0.0,3.5143674884091365e-11,1.4241763446698338e-09,9.283624477096554e-14,4.099387087532244e-12
60.30251,Done,Double,161.0948,1.04043,0.20653,1.58284,1.58284,1.0,1.58284,0.20558,0.0,0.0,0.0,0.59701,1.0,6,6,1,0.70187,0.90766,0.05991,0.90025,0.56033,0.05847,0.82,0.7,0.06,0.9,0.56,0.06,1.04585,-31.36576,58.68774,-92.89253,-88.86663,105.8376,double_rcm_log_20260616_105213_166.csv,40.91653027823498,Unknown,Task3_Insertion,0.0,0.20660163220823397,0.5814292133278756,0.5814301583235394,0.5607917791518126,1.5766732259851468,1.5850236591293951,0.0,6.866984525686459e-11,1.4339392105963134e-09,4.641245714809236e-14,4.55810165516378e-12
60.32789,Done,Double,161.0948,1.04043,0.20653,1.58284,1.58284,1.0,1.58284,0.20558,0.0,0.0,0.0,0.59701,1.0,6,6,1,0.70187,0.90766,0.05991,0.90025,0.56033,0.05847,0.82,0.7,0.06,0.9,0.56,0.06,1.04585,-31.36576,58.68774,-92.89253,-88.86663,105.8376,double_rcm_log_20260616_105213_166.csv,39.40110323089294,Unknown,Task3_Insertion,0.0,0.20660163220823397,0.5814292133278756,0.5814301583235394,0.5607917791518126,1.5766732259851468,1.5850236591293951,3.552713678800501e-12,7.816940527442929e-11,2.8801689165274186e-09,2.1268859807002749e-13,3.2712785611574876e-12
60.35242,Done,Double,161.0948,1.04043,0.20653,1.58284,1.58284,1.0,1.58284,0.20558,0.0,0.0,0.0,0.59701,1.0,6,6,1,0.70187,0.90766,0.05991,0.90025,0.56033,0.05847,0.82,0.7,0.06,0.9,0.56,0.06,1.04585,-31.36576,58.68774,-92.89253,-88.86663,105.8376,double_rcm_log_20260616_105213_166.csv,40.76640847940347,Unknown,Task3_Insertion,0.0,0.20660163220823397,0.5814292133278756,0.5814301583235394,0.5607917791518126,1.5766732259851468,1.5850236591293951,3.978256139440565e-12,7.026824308732254e-11,3.223619032063186e-09,1.6734249406772215e-13,4.682408189463579e-12
60.37745,Done,Double,161.0948,1.04043,0.20653,1.58284,1.58284,1.0,1.58284,0.20558,0.0,0.0,0.0,0.59701,1.0,6,6,1,0.70187,0.90766,0.05991,0.90025,0.56033,0.05847,0.82,0.7,0.06,0.9,0.56,0.06,1.04585,-31.36576,58.68774,-92.89253,-88.86663,105.8376,double_rcm_log_20260616_105213_166.csv,39.952057530961255,Unknown,Task3_Insertion,0.0,0.20660163220823397,0.5814292133278756,0.5814301583235394,0.5607917791518126,1.5766732259851468,1.5850236591293951,0.0,7.91029510388202e-11,1.425981691982082e-09,9.282491429618472e-14,5.636197971732063e-12
60.40225,Done,Double,161.0948,1.04043,0.20653,1.58284,1.58284,1.0,1.58284,0.20558,0.0,0.0,0.0,0.59701,1.0,6,6,1,0.70187,0.90766,0.05991,0.90025,0.56033,0.05847,0.82,0.7,0.06,0.9,0.56,0.06,1.04585,-31.36576,58.68774,-92.89253,-88.86663,105.8376,double_rcm_log_20260616_105213_166.csv,40.322580645162844,Unknown,Task3_Insertion,0.0,0.20660163220823397,0.5814292133278756,0.5814301583235394,0.5607917791518126,1.5766732259851468,1.5850236591293951,0.0,4.328975513483779e-12,1.4401287446302639e-09,1.3127425272378462e-13,9.090628328026702e-13
60.42761,Done,Double,161.0948,1.04043,0.20653,1.58284,1.58284,1.0,1.58284,0.20558,0.0,0.0,0.0,0.59701,1.0,6,6,1,0.70187,0.90766,0.05991,0.90025,0.56033,0.05847,0.82,0.7,0.06,0.9,0.56,0.06,1.04585,-31.36576,58.68774,-92.89253,-88.86663,105.8376,double_rcm_log_20260616_105213_166.csv,39.43217665615273,Unknown,Task3_Insertion,0.0,0.20660163220823397,0.5814292133278756,0.5814301583235394,0.5607917791518126,1.5766732259851468,1.5850236591293951,2.220446049250313e-13,3.7061104389536246e-11,7.307703987338931e-10,1.0379154359435136e-13,4.662929156510373e-12
60.45214,Done,Double,161.0948,1.04043,0.20653,1.58284,1.58284,1.0,1.58284,0.20558,0.0,0.0,0.0,0.59701,1.0,6,6,1,0.70187,0.90766,0.05991,0.90025,0.56033,0.05847,0.82,0.7,0.06,0.9,0.56,0.06,1.04585,-31.36576,58.68774,-92.89253,-88.86663,105.8376,double_rcm_log_20260616_105213_166.csv,40.766408479415276,Unknown,Task3_Insertion,0.0,0.20660163220823397,0.5814292133278756,0.5814301583235394,0.5607917791518126,1.5766732259851468,1.5850236591293951,1.7901808365247238e-12,3.6801408344201566e-11,2.2002820935310005e-09,1.8564982859236944e-13,2.8223642231220295e-12
60.47712,Done,Double,161.0948,1.04043,0.20653,1.58284,1.58284,1.0,1.58284,0.20558,0.0,0.0,0.0,0.59701,1.0,6,6,1,0.70187,0.90766,0.05991,0.90025,0.56033,0.05847,0.82,0.7,0.06,0.9,0.56,0.06,1.04585,-31.36576,58.68774,-92.89253,-88.86663,105.8376,double_rcm_log_20260616_105213_166.csv,40.032025620497464,Unknown,Task3_Insertion,0.0,0.20660163220823397,0.5814292133278756,0.5814301583235394,0.5607917791518126,1.5766732259851468,1.5850236591293951,1.7763568394002505e-12,7.387747687689418e-11,2.0623751258574022e-09,9.282491429618472e-14,4.610972592962011e-12
60.5015,Done,Double,161.0948,1.04043,0.20653,1.58284,1.58284,1.0,1.58284,0.20558,0.0,0.0,0.0,0.59701,1.0,6,6,1,0.70187,0.90766,0.05991,0.90025,0.56033,0.05847,0.82,0.7,0.06,0.9,0.56,0.06,1.04585,-31.36576,58.68774,-92.89253,-88.86663,105.8376,double_rcm_log_20260616_105213_166.csv,41.01722723543765,Unknown,Task3_Insertion,0.0,0.20660163220823397,0.5814292133278756,0.5814301583235394,0.5607917791518126,1.5766732259851468,1.5850236591293951,1.7763568394002505e-12,8.070083082298468e-11,1.334432678583121e-09,1.3127425272378462e-13,4.2174100913315135e-12
60.52622,Done,Double,161.0948,1.04043,0.20653,1.58284,1.58284,1.0,1.58284,0.20558,0.0,0.0,0.0,0.59701,1.0,6,6,1,0.70187,0.90766,0.05991,0.90025,0.56033,0.05847,0.82,0.7,0.06,0.9,0.56,0.06,1.04585,-31.36576,58.68774,-92.89253,-88.86663,105.8376,double_rcm_log_20260616_105213_166.csv,40.45307443365356,Unknown,Task3_Insertion,0.0,0.20660163220823397,0.5814292133278756,0.5814301583235394,0.5607917791518126,1.5766732259851468,1.5850236591293951,3.552713678800501e-12,2.8057638823568604e-11,3.7217880012822375e-09,1.8564982859236944e-13,8.531497339893165e-12
